,Hokkaido,Osaka,Tokushima,Nagasaki,Niigata,Hyogo,Ishikawa,Nagano,Tottori,Gunma,Oita,Saitama,Toyama,Akita,Wakayama,Kochi,Miyagi,Tokyo,Kanagawa,Fukuoka,Yamanashi,Aichi,Iwate,Unknown,Okayama,Nara,Mie,Kagawa,Miyazaki,Aomori,Shizuoka,Yamagata,Kumamoto,Hiroshima,Yamaguchi,Tochigi,Kagoshima,Chiba,Saga,Gifu,Okinawa,Shimane,Fukui,Ehime,Kyoto,Shiga,Fukushima,Ibaraki
2019-07-02 16:00:00,7,3,0,0,0,2,0,0,3,1,0,1,0,0,1,0,1,9,1,0,0,1,0,0,3,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,4,0,0,1,0,1,1
2019-07-02 17:00:00,1,7,1,2,0,1,0,1,0,1,0,3,1,0,0,0,1,6,9,7,0,0,0,1,1,0,1,1,1,1,1,0,4,4,2,1,2,4,0,2,0,0,0,3,0,3,1,1
2019-07-02 18:00:00,2,4,0,2,1,3,0,2,0,0,4,3,0,0,0,0,0,5,5,4,0,3,0,1,1,0,0,0,3,0,2,0,2,3,1,2,6,2,0,1,0,0,1,2,0,2,1,1
2019-07-02 19:00:00,2,3,1,1,1,3,0,1,0,0,1,4,0,0,0,1,2,12,4,5,1,2,0,0,1,2,0,2,2,1,0,0,2,0,0,0,5,4,0,0,0,0,2,1,2,0,1,0
2019-07-02 20:00:00,1,5,0,3,2,2,1,2,0,2,1,2,0,0,0,2,1,8,3,3,1,6,1,2,1,0,1,0,4,3,5,0,1,1,1,2,5,0,2,0,0,0,0,2,0,0,2,0
2019-07-02 21:00:00,3,6,0,4,1,2,1,1,1,0,2,1,0,0,1,0,1,10,5,4,0,4,0,0,1,2,0,1,1,0,1,0,4,0,1,2,3,1,1,1,0,1,0,2,0,0,0,2
2019-07-02 22:00:00,0,4,0,1,1,3,0,0,0,4,1,4,3,0,2,0,1,10,5,3,0,4,2,0,2,0,0,1,3,0,4,0,4,2,2,1,1,4,2,2,3,0,0,1,3,0,1,0
2019-07-02 23:00:00,1,4,0,3,0,1,0,0,1,1,1,0,0,1,0,0,1,7,4,3,0,3,0,0,0,0,0,1,4,0,1,0,2,0,1,0,6,3,0,2,0,2,0,0,0,0,0,1
2019-07-03 00:00:00,3,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,0,2,2,0,0,1,0,0,0,2,0,0,1
2019-07-03 01:00:00,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
